instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run,Best_Lower_Bound,Solutions_Found_Runs
instance_n=1000_1,,,,,,100.09864091873169,0.0,,134.4969999999966,0
instance_n=1000_11,,,,,,100.09858202934265,0.0,,133.65500000000014,0
instance_n=1000_12,,,,,,100.096107006073,0.0,,133.135000000004,0
instance_n=1000_13,,,,,,100.09877300262451,0.0,,130.80399999999818,0
instance_n=1000_18,,,,,,100.10039591789246,0.0,,133.19499999999812,0
instance_n=1000_2,,,,,,100.0990240573883,0.0,,136.677,0
instance_n=1000_23,,,,,,302.9222569465637,0.0,,135.39400000000043,0
instance_n=1000_25,,,,,,100.09909224510193,0.0,,135.06300000000243,0
instance_n=1000_28,,,,,,100.10464715957642,0.0,,496.4770000000188,0
instance_n=1000_30,,,,,,100.10355615615845,0.0,,505.31299999999777,0
instance_n=1000_32,,,,,,100.14674305915833,0.0,,502.3870000000058,0
instance_n=1000_34,,,,,,100.11637091636658,0.0,,506.4370000000019,0
instance_n=1000_35,,,,,,100.29878187179565,0.0,,500.0810000000071,0
instance_n=1000_37,,,,,,100.11478519439697,0.0,,505.6230000000072,0
instance_n=1000_38,,,,,,100.09191989898682,0.0,,503.74800000000937,0
instance_n=1000_43,,,,,,100.09253692626953,0.0,,495.3180000000027,0
instance_n=1000_45,,,,,,100.1545627117157,0.0,,491.3090000000056,0
instance_n=1000_5,,,,,,100.10718727111816,0.0,,134.50800000000226,0
instance_n=1000_52,,,,,,100.0980019569397,0.0,,227.45200000000673,0
instance_n=1000_6,,,,,,100.10700917243958,0.0,,140.86000000009682,0
instance_n=1000_60,,,,,,100.10119795799255,0.0,,229.4240000000004,0
instance_n=1000_62,,,,,,100.10064601898193,0.0,,222.6149999999968,0
instance_n=1000_63,,,,,,588.9185879230499,0.0,,226.0490000000113,0
instance_n=1000_65,,,,,,115.35676693916321,0.0,,224.02900000000236,0
instance_n=1000_68,,,,,,115.46217107772827,0.0,,0.0,0
instance_n=1000_69,,,,,,100.1139121055603,0.0,,223.10799999999782,0
instance_n=1000_7,,,,,,336.7151520252228,0.0,,0.0,0
instance_n=1000_70,,,,,,228.866446018219,0.0,,227.34800000000337,0
instance_n=1000_72,,,,,,177.07906413078308,0.0,,221.24700000000422,0
instance_n=1000_74,,,,,,220.15366411209106,0.0,,226.47800000000402,0
