Instance,Min_m,SI,Eff,Runtime
instance_n=1000_38,574,187.8090,0.8775,60.66
instance_n=1000_11,136,19.5254,0.9828,60.01
instance_n=1000_13,133,19.4215,0.9835,60.24
instance_n=1000_12,135,17.4727,0.9862,60.28
instance_n=1000_28,559,176.9749,0.8880,1008.25
instance_n=1000_72,227,33.8328,0.9747,108.47
instance_n=1000_70,232,29.3691,0.9799,60.02
instance_n=1000_65,230,34.8399,0.9740,60.09
instance_n=1000_74,232,34.1782,0.9762,512.87
instance_n=1000_60,236,37.2457,0.9721,902.92
instance_n=1000_62,228,33.5535,0.9764,60.26
instance_n=1000_63,232,35.2890,0.9743,959.82
instance_n=1000_52,234,35.2826,0.9720,60.03
instance_n=1000_5,137,20.7846,0.9818,999.75
instance_n=1000_45,540,145.7481,0.9096,955.55
instance_n=1000_6,144,25.6052,0.9782,159.59
instance_n=1000_7,138,19.2267,0.9837,949.07
instance_n=1000_68,232,35.1871,0.9737,60.33
instance_n=1000_2,139,20.5832,0.9833,1061.40
instance_n=1000_69,229,41.0800,0.9743,145.30
instance_n=1000_43,558,175.7082,0.8876,1005.29
instance_n=1000_1,137,23.2352,0.9817,1008.40
instance_n=1000_25,137,18.9992,0.9859,1032.80
instance_n=1000_30,583,204.7346,0.8662,764.87
instance_n=1000_18,136,23.4541,0.9794,1031.20
instance_n=1000_32,566,179.5498,0.8864,982.50
instance_n=1000_23,138,23.1510,0.9811,671.78
instance_n=1000_37,576,190.4084,0.8769,383.99
instance_n=1000_34,579,192.9269,0.8747,586.03
instance_n=1000_35,565,176.8894,0.8851,197.36
