run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,268,194.96697003078515,0.848313432835821,0.5027689933776855,10 26 50 14 35 55 51 44 15 27,100,200,0.8,0.05,3,2,1001,0.5
2,268,198.3449806354665,0.848313432835821,0.5037350654602051,9 39 59 77 6 38 45 64 65 57,100,200,0.8,0.05,3,2,1002,0.5
3,268,195.20003134939802,0.848313432835821,0.5005440711975098,15 6 12 7 3 8 20 13 23 11,100,200,0.8,0.05,3,2,1003,0.5
4,269,197.7990230804958,0.8451598513011153,0.5104868412017822,13 34 43 67 72 32 52 14 35 44,100,200,0.8,0.05,3,2,1004,0.5
5,270,202.1844592335315,0.8420296296296297,0.5023660659790039,11 7 4 12 5 23 18 2 17 8,100,200,0.8,0.05,3,2,1005,0.5
6,268,200.11569414909997,0.848313432835821,0.5116000175476074,6 1 11 4 19 3 9 7 14 28,100,200,0.8,0.05,3,2,1006,0.5
7,267,196.08402234813707,0.8514906367041198,0.5061521530151367,15 27 6 10 17 1 7 30 4 29,100,200,0.8,0.05,3,2,1007,0.5
8,266,188.56691439117182,0.8546917293233083,0.5189239978790283,19 2 6 12 15 24 27 14 28 53,100,200,0.8,0.05,3,2,1008,0.5
9,269,202.64589035389645,0.8451598513011153,0.5109238624572754,1 13 6 3 16 2 9 15 7 20,100,200,0.8,0.05,3,2,1009,0.5
10,269,206.50133891570218,0.8451598513011153,0.5085160732269287,17 16 5 7 11 1 30 8 15 33,100,200,0.8,0.05,3,2,1010,0.5
