Instance,Best_m,Avg_m,Best_Time,Avg_Time
instance_n=1000_38,689,691.8,6.347271203994751,6.416175889968872
instance_n=1000_11,144,144,5.227087020874023,5.292040824890137
instance_n=1000_13,141,141,5.2461020946502686,5.370293140411377
instance_n=1000_12,143,143.2,5.305316925048828,5.358177566528321
instance_n=1000_28,675,677.6,6.4613938331604,6.508241033554077
instance_n=1000_72,255,255.8,5.549176931381226,5.596856021881104
instance_n=1000_70,265,265.2,5.604018926620483,5.657022142410279
instance_n=1000_65,258,259.8,5.539745092391968,5.643457317352295
instance_n=1000_74,260,262.6,5.54187798500061,5.6810437679290775
instance_n=1000_60,267,267.8,5.639317989349365,5.823812055587768
instance_n=1000_62,258,258.8,5.6422882080078125,5.720957231521607
instance_n=1000_63,263,263.6,5.6133928298950195,5.71064076423645
instance_n=1000_52,262,263.4,5.635544061660767,5.669050455093384
instance_n=1000_5,144,144.6,5.258323907852173,5.338184118270874
instance_n=1000_45,657,661.4,6.449715852737427,6.521146011352539
instance_n=1000_6,152,152.4,5.247600078582764,5.314013910293579
instance_n=1000_7,146,146,5.3797807693481445,5.444680833816529
instance_n=1000_68,262,262.8,5.735428810119629,5.786560726165772
instance_n=1000_2,147,147.2,5.361884117126465,5.485625839233398
instance_n=1000_69,260,260.4,5.534921169281006,5.588028049468994
instance_n=1000_43,673,674.6,6.508707761764526,6.571946811676026
instance_n=1000_1,144,144.8,5.332420110702515,5.399427175521851
instance_n=1000_25,145,145.4,5.308852195739746,5.37158203125
instance_n=1000_30,695,698.4,6.608763933181763,6.649593496322632
instance_n=1000_18,143,143.4,5.316295146942139,5.332773685455322
instance_n=1000_32,677,681.4,6.496988773345947,6.521793413162231
instance_n=1000_23,145,145.6,5.267330169677734,5.31430344581604
instance_n=1000_37,691,693,6.424753189086914,6.483881235122681
instance_n=1000_34,701,702.8,6.4032628536224365,6.529815196990967
instance_n=1000_35,678,681,6.498616933822632,6.523537492752075
